**************************************************
All Kharchenko+ 2013 clusters in sector 5:

Name            d         logt        N1sr2  total_sectors_obsd
        FSR_1347       2173.0        8.020        135.0                   1
        FSR_1064       2669.0        8.025         46.0                   1
      Haffner_20       2910.0        8.055         49.0                   1
        FSR_1153       3095.0        8.065         54.0                   1
          BIP_14       1609.0        8.095         38.0                   1
        NGC_2467       1313.0        8.100         23.0                   1
        NGC_2422        471.0        8.120        460.0                   1
          Bica_4       3930.0        8.125         58.0                   1
          SAI_81       5165.0        8.130         40.0                   1
        NGC_2343       1029.0        8.135        177.0                   1
       Haffner_9       1797.0        8.150         45.0                   1
    Ruprecht_151       1490.0        8.150         80.0                   1
     Ruprecht_46       1467.0        8.150         14.0                   1
      Haffner_17       2899.0        8.170         96.0                   1
        FSR_1133       3112.0        8.180         41.0                   1
        NGC_2335       1411.0        8.200        394.0                   1
        FSR_1351       1579.0        8.200        103.0                   1
      Teutsch_61       1998.0        8.215         90.0                   1
         ASCC_43       1005.0        8.215        139.0                   1
       Alessi_17       4697.0        8.220         14.0                   1
     Ruprecht_49       1748.0        8.220         28.0                   1
          DBSB_5       2731.0        8.235         84.0                   1
      Czernik_31       2057.0        8.250         43.0                   1
     Ruprecht_40       1836.0        8.265         22.0                   1
        FSR_1352       1508.0        8.280        148.0                   1
     Ruprecht_36       1821.0        8.280         43.0                   1
        FSR_1260       1409.0        8.300        102.0                   1
      ESO_367-10       3027.0        8.315         19.0                   1
     Ruprecht_17       1263.0        8.325         72.0                   1
         ASCC_36        813.0        8.330        142.0                   1
        FSR_1207       1928.0        8.335        165.0                   1
        FSR_1184       6017.0        8.350         36.0                   1
        NGC_2437       1375.0        8.350       1688.0                   1
      ESO_493-03       1400.0        8.385        105.0                   1
     Ruprecht_43        970.0        8.400         57.0                   1
   Collinder_466       1037.0        8.405         32.0                   1
        Bochum_4        870.0        8.410         95.0                   1
     Ruprecht_27        576.0        8.410         68.0                   1
        FSR_1332       2173.0        8.420         31.0                   1
        FSR_1234       1706.0        8.440         53.0                   1
     Ruprecht_35       3858.0        8.440         47.0                   1
     Ruprecht_18       1499.0        8.455         99.0                   1
      Haffner_25       4244.0        8.460         36.0                   1
         DBSB_12       3497.0        8.470         43.0                   1
      Dolidze_26       2070.0        8.475         75.0                   1
         ASCC_35        787.0        8.480         49.0                   1
          Dias_3       7241.0        8.485         38.0                   1
       Turner_12       4499.0        8.490         40.0                   1
        FSR_1255       1023.0        8.495         66.0                   1
      Czernik_29       2879.0        8.500         33.0                   1
      Waterloo_3       2589.0        8.500         58.0                   1
